# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 2.50000000e+00
# lRef          : 2.00000000e+00
# Aref          : 2.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	-9.60342916e-17	8.36013161e-01	3.88578059e-17	-7.66053887e-17	1.15463195e-16
0.05            	-3.75390696e-09	2.76432558e+01	-1.26614057e-06	-6.36824191e-07	-6.29316377e-07
0.1             	-1.91675411e-09	-1.11099406e+01	2.86401079e-06	1.43008864e-06	1.43392215e-06
0.15            	5.58484521e-09	1.63544895e+00	-2.23798215e-06	-1.11340623e-06	-1.12457592e-06
0.2             	5.79987784e-09	1.13837393e+00	1.01144698e-06	5.11523366e-07	4.99923610e-07
0.25            	1.69932304e-09	1.11668295e+00	-4.37019213e-07	-2.16810283e-07	-2.20208929e-07
0.3             	-2.98415003e-10	1.05011270e+00	1.35721043e-07	6.75621064e-08	6.81589364e-08
0.35            	-1.96501471e-09	9.90848583e-01	-1.66794827e-07	-8.53624281e-08	-8.14323987e-08
0.4             	-2.40710595e-09	9.60629579e-01	-2.26651060e-07	-1.15732636e-07	-1.10918424e-07
0.45            	-2.20016510e-09	9.52601360e-01	-3.03682338e-07	-1.54041334e-07	-1.49641004e-07
0.5             	-1.62946579e-09	9.58034465e-01	2.49833808e-07	1.23287438e-07	1.26546370e-07
0.55            	-1.24189107e-09	9.72459006e-01	-9.82453924e-08	-5.03645873e-08	-4.78808051e-08
0.6             	-8.20264581e-10	9.92294920e-01	-7.56976464e-09	-4.60514690e-09	-2.96461774e-09
0.65            	-4.16961287e-10	1.01712840e+00	-1.81632870e-08	-9.49860479e-09	-8.66468222e-09
0.7             	-1.51787200e-10	1.04499010e+00	-2.10983938e-08	-1.07009841e-08	-1.03974097e-08
0.75            	1.88694709e-11	1.07307176e+00	-2.45723582e-08	-1.22673096e-08	-1.23050486e-08
0.8             	8.19086579e-11	1.10401612e+00	-2.39397036e-08	-1.18879431e-08	-1.20517605e-08
0.85            	8.99254079e-11	1.13384435e+00	-2.96614601e-08	-1.47408046e-08	-1.49206555e-08
0.9             	6.73877844e-11	1.16476862e+00	-1.63324252e-08	-8.09882483e-09	-8.23360040e-09
0.95            	1.63131827e-11	1.19265326e+00	-4.32858687e-08	-2.16266212e-08	-2.16592475e-08
1               	3.27259421e-11	1.22008406e+00	-3.69532044e-08	-1.84438763e-08	-1.85093282e-08
1.05            	3.31017579e-11	1.24415098e+00	-3.53927327e-08	-1.76632646e-08	-1.77294681e-08
1.1             	4.48719581e-11	1.26722398e+00	-4.94265102e-08	-2.46683832e-08	-2.47581271e-08
1.15            	3.02789255e-11	1.28608199e+00	-5.39958907e-08	-2.69676664e-08	-2.70282243e-08
1.2             	-8.32375641e-12	1.30225677e+00	-5.92449641e-08	-2.96308058e-08	-2.96141583e-08
1.25            	3.39265281e-11	1.31638884e+00	-6.35541633e-08	-3.17431551e-08	-3.18110082e-08
1.3             	8.95942485e-11	1.32679333e+00	-7.46647804e-08	-3.72427960e-08	-3.74219845e-08
1.35            	1.45013948e-10	1.33176538e+00	-8.90618023e-08	-4.43858872e-08	-4.46759151e-08
1.4             	1.46328983e-10	1.33309975e+00	-9.44569600e-08	-4.70821510e-08	-4.73748090e-08
1.45            	6.93754511e-11	1.33227995e+00	-9.31679739e-08	-4.65146115e-08	-4.66533624e-08
1.5             	-5.53129639e-11	1.32891664e+00	-1.21046732e-07	-6.05786789e-08	-6.04680530e-08
1.55            	-1.98079776e-11	1.32125106e+00	-1.00778225e-07	-5.04089206e-08	-5.03693046e-08
1.6             	6.69421030e-11	1.31141881e+00	-1.25832501e-07	-6.28493085e-08	-6.29831927e-08
1.65            	1.87379151e-10	1.30221827e+00	-1.14307552e-07	-5.69663971e-08	-5.73411554e-08
1.7             	1.98292295e-10	1.28940761e+00	-1.27307651e-07	-6.34555331e-08	-6.38521177e-08
1.75            	3.64580785e-10	1.27490993e+00	2.52474127e-07	1.26601645e-07	1.25872483e-07
1.8             	3.01244895e-10	1.26160122e+00	-1.21780049e-07	-6.05887798e-08	-6.11912696e-08
1.85            	3.35818621e-10	1.25156720e+00	-8.33963249e-09	-3.83399762e-09	-4.50563487e-09
1.9             	3.61977822e-10	1.23829441e+00	-1.33073519e-08	-6.29169814e-09	-7.01565378e-09
1.95            	4.19556173e-10	1.22575201e+00	-1.16378564e-08	-5.39937202e-09	-6.23848437e-09
2               	4.23904444e-10	1.21373866e+00	-2.26226582e-08	-1.08874246e-08	-1.17352335e-08
2.05            	4.17820312e-10	1.20362762e+00	-1.38151918e-08	-6.48977560e-09	-7.32541623e-09
2.1             	4.38627371e-10	1.19465906e+00	-2.34613781e-08	-1.12920617e-08	-1.21693164e-08
