# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous)	moments(pressure viscous)
0               	((0.00000000e+00 0.00000000e+00 0.00000000e+00) (5.22508225e+00 2.42861287e-16 1.50463277e-34)) ((0.00000000e+00 0.00000000e+00 0.00000000e+00) (4.50052624e-26 -3.22643007e-21 -1.20042865e-15))
0.05            	((1.66926292e+02 -7.94910873e-06 -1.43547211e-20) (5.84405635e+00 3.57301795e-08 -1.66532161e-21)) ((-9.29151207e-20 -7.14624121e-19 3.13233814e-13) (-7.06805272e-19 -1.64326220e-21 -4.69241502e-08))
0.1             	((-7.39389552e+01 1.78224109e-05 1.54452621e-19) (4.50182630e+00 7.76565158e-08 -1.56908322e-21)) ((1.36504981e-18 2.95215335e-19 -4.15594642e-13) (-1.11665314e-18 -1.46664836e-21 -2.39590108e-08))
0.15            	((6.77030051e+00 -1.39136577e-05 9.28943045e-20) (3.45125543e+00 -7.37307099e-08 -1.11178129e-21)) ((1.03015457e-18 -3.96567533e-20 6.55714307e-13) (-8.77863875e-19 -8.78406556e-22 6.98099094e-08))
0.2             	((4.33438159e+00 6.36584157e-06 1.11943166e-19) (2.78045545e+00 -4.42979696e-08 3.56363322e-22)) ((6.17803099e-19 -2.42121268e-20 -6.65690159e-13) (-2.84061336e-19 -5.64668818e-22 7.24991387e-08))
0.25            	((4.63082464e+00 -2.72711985e-06 1.08032830e-19) (2.34844380e+00 -4.25022761e-09 6.40047481e-22)) ((4.78359452e-19 -2.40823372e-20 6.30233414e-13) (-5.06970705e-20 -3.79232244e-22 2.12409078e-08))
0.3             	((4.51595653e+00 8.24476854e-07 9.73716881e-20) (2.04724781e+00 2.37796636e-08 2.72889013e-22)) ((5.13649816e-19 -2.36015634e-20 9.55359923e-14) (-4.74554745e-20 -3.11444824e-22 -3.73028308e-09))
0.35            	((4.36420587e+00 -1.07941473e-06 8.86109388e-20) (1.82859777e+00 3.69470599e-08 1.43819696e-22)) ((6.04339531e-19 -2.33083892e-20 -4.26210716e-15) (2.19875413e-19 -7.68579368e-23 -2.45626796e-08))
0.4             	((4.34133632e+00 -1.44955185e-06 8.46542459e-20) (1.66259855e+00 3.29827205e-08 4.91770000e-23)) ((6.98145564e-19 -2.37425108e-20 1.08131169e-13) (5.34401854e-19 1.82376336e-22 -3.00889325e-08))
0.45            	((4.41851158e+00 -1.92098245e-06 8.31358172e-20) (1.53524692e+00 2.29678402e-08 1.52914722e-22)) ((7.82810112e-19 -2.45347081e-20 1.89315360e-13) (5.03379056e-19 2.97819705e-22 -2.75022531e-08))
0.5             	((4.55318672e+00 1.53159516e-06 8.15527838e-20) (1.43452869e+00 2.98661444e-08 2.06151593e-22)) ((8.64177888e-19 -2.54417129e-20 8.68352699e-14) (3.92542505e-19 3.35261504e-22 -2.03684093e-08))
0.55            	((4.72588236e+00 -6.39639093e-07 7.94865203e-20) (1.35198643e+00 2.56053906e-08 1.73579416e-22)) ((9.42550203e-19 -2.64249468e-20 1.01592346e-13) (3.30749511e-19 3.51594625e-22 -1.55237400e-08))
0.6             	((4.91826690e+00 -6.97843646e-08 7.73730182e-20) (1.28357635e+00 2.24733356e-08 1.14933037e-22)) ((1.01138525e-18 -2.74026143e-20 8.35572930e-14) (2.88473053e-19 3.70806376e-22 -1.02533908e-08))
0.65            	((5.13183343e+00 -1.32819901e-07 7.53591681e-20) (1.22521907e+00 1.92993576e-08 4.58759835e-23)) ((1.06831182e-18 -2.84023237e-20 7.14814492e-14) (2.51722067e-19 3.91252788e-22 -5.21208757e-09))
0.7             	((5.35573331e+00 -1.47566109e-07 7.33666631e-20) (1.17545480e+00 1.57011478e-08 -2.70807606e-23)) ((1.11641908e-18 -2.93846446e-20 6.37861075e-14) (2.28156370e-19 4.12811151e-22 -1.89740378e-09))
0.75            	((5.57369862e+00 -1.66389782e-07 7.14057109e-20) (1.13299991e+00 1.28125436e-08 -9.27529565e-23)) ((1.15985383e-18 -3.02915235e-20 6.36767115e-14) (1.86882578e-19 4.34723083e-22 2.35804709e-10))
0.8             	((5.80359888e+00 -1.62021960e-07 6.96660545e-20) (1.09650189e+00 1.23988123e-08 -1.03200935e-22)) ((1.20325216e-18 -3.11976767e-20 6.11906359e-14) (1.13544545e-19 4.53772249e-22 1.02379703e-09))
0.85            	((6.02081274e+00 -1.97792762e-07 6.80462231e-20) (1.06571444e+00 1.24086362e-08 -1.10021795e-22)) ((1.24384631e-18 -3.20394858e-20 6.52698381e-14) (2.41871764e-20 4.73291220e-22 1.12400233e-09))
0.9             	((6.23902985e+00 -1.13450170e-07 6.64846588e-20) (1.04077402e+00 1.13725123e-08 -1.22525352e-22)) ((1.28671390e-18 -3.28357436e-20 6.86213239e-14) (-4.14248959e-20 4.91918599e-22 8.42278684e-10))
0.95            	((6.43381327e+00 -2.80649990e-07 6.49097657e-20) (1.02026959e+00 1.01133107e-08 -1.42846312e-22)) ((1.32794037e-18 -3.35477889e-20 6.72890563e-14) (-8.41202006e-20 5.10342001e-22 2.03847494e-10))
1               	((6.62278657e+00 -2.40689850e-07 6.34173610e-20) (1.00273881e+00 9.73232194e-09 -1.68818591e-22)) ((1.36987161e-18 -3.42227261e-20 6.99180297e-14) (-7.72675217e-20 5.27954555e-22 4.09004358e-10))
1.05            	((6.78902144e+00 -2.31289619e-07 6.18870695e-20) (9.86922163e-01 1.00850394e-08 -2.04479908e-22)) ((1.40835829e-18 -3.48029563e-20 7.47856638e-14) (-9.37188629e-20 5.45193564e-22 4.13697188e-10))
1.1             	((6.94707433e+00 -3.19087308e-07 6.04198874e-20) (9.73075528e-01 1.01716190e-08 -2.49297031e-22)) ((1.44252935e-18 -3.53450297e-20 7.74137698e-14) (-1.29605613e-19 5.61958436e-22 5.60822062e-10))
1.15            	((7.07722751e+00 -3.47477662e-07 5.89562804e-20) (9.60784954e-01 1.00033451e-08 -3.11836048e-22)) ((1.47167602e-18 -3.57597074e-20 8.53006901e-14) (-1.76205689e-19 5.77907767e-22 3.78401269e-10))
1.2             	((7.18906984e+00 -3.80401896e-07 5.76038977e-20) (9.50034945e-01 1.01208699e-08 -3.84978399e-22)) ((1.49684434e-18 -3.61004214e-20 9.19229970e-14) (-2.25438525e-19 5.93000569e-22 -1.04138878e-10))
1.25            	((7.28677559e+00 -4.08201244e-07 5.63816974e-20) (9.40654648e-01 1.09877233e-08 -4.50540912e-22)) ((1.51654221e-18 -3.64071754e-20 9.26949489e-14) (-2.68722995e-19 6.07769325e-22 4.23988906e-10))
1.3             	((7.36026783e+00 -4.77562134e-07 5.52164716e-20) (9.32190484e-01 1.09072564e-08 -5.09783438e-22)) ((1.53007404e-18 -3.66151565e-20 9.63656238e-14) (-3.10482815e-19 6.21843889e-22 1.11983174e-09))
1.35            	((7.39929576e+00 -5.66873647e-07 5.40605353e-20) (9.24237855e-01 1.02373829e-08 -5.65416923e-22)) ((1.53702285e-18 -3.66877347e-20 1.05962114e-13) (-3.54300512e-19 6.35396163e-22 1.81256839e-09))
1.4             	((7.41519401e+00 -5.98898087e-07 5.29685388e-20) (9.16679439e-01 8.54208729e-09 -6.18315641e-22)) ((1.54154459e-18 -3.67006727e-20 1.11158478e-13) (-3.96326588e-19 6.47865136e-22 1.82900113e-09))
1.45            	((7.41734193e+00 -5.88837337e-07 5.19823935e-20) (9.09407755e-01 6.53750033e-09 -6.50165041e-22)) ((1.54058933e-18 -3.66833677e-20 1.23638946e-13) (-4.37706834e-19 6.59685948e-22 8.67069500e-10))
1.5             	((7.40295433e+00 -7.60811656e-07 5.10873147e-20) (9.02774705e-01 4.26958147e-09 -6.59649663e-22)) ((1.53627867e-18 -3.66232762e-20 1.29441596e-13) (-4.66084087e-19 6.70897991e-22 -6.91541491e-10))
1.55            	((7.36145949e+00 -6.33987984e-07 5.01778002e-20) (8.96359617e-01 4.12407626e-09 -6.60456371e-22)) ((1.52524581e-18 -3.64566270e-20 6.94565933e-14) (-4.83318207e-19 6.80372780e-22 -2.47669177e-10))
1.6             	((7.30618664e+00 -7.90222301e-07 4.93222841e-20) (8.90180920e-01 3.76916894e-09 -6.62406255e-22)) ((1.51174298e-18 -3.62379887e-20 8.01025912e-14) (-5.01612028e-19 6.88613303e-22 8.36696185e-10))
1.65            	((7.25453094e+00 -7.18224516e-07 4.86024470e-20) (8.84333242e-01 3.80231304e-09 -6.64650383e-22)) ((1.49929337e-18 -3.60984211e-20 8.71724568e-14) (-5.22126573e-19 6.95611403e-22 2.34215222e-09))
1.7             	((7.18037182e+00 -7.98084299e-07 4.78026465e-20) (8.78425772e-01 2.41148235e-09 -6.68100971e-22)) ((1.48250727e-18 -3.58733189e-20 9.46291656e-14) (-5.37365988e-19 7.00714339e-22 2.47855905e-09))
1.75            	((7.09591518e+00 1.56375604e-06 4.70149363e-20) (8.72271899e-01 1.42072607e-08 -6.69360260e-22)) ((1.46401993e-18 -3.55644945e-20 6.74963557e-14) (-5.51243806e-19 7.03838570e-22 4.55719231e-09))
1.8             	((7.01899361e+00 -7.71574253e-07 4.63043267e-20) (8.66014041e-01 1.04489446e-08 -6.68034302e-22)) ((1.44655983e-18 -3.52812757e-20 7.78248993e-14) (-5.65260896e-19 7.05248690e-22 3.76548336e-09))
1.85            	((6.96244645e+00 -5.90861252e-08 4.56973565e-20) (8.59848534e-01 6.96342218e-09 -6.65397485e-22)) ((1.43259871e-18 -3.51844736e-20 8.12891421e-14) (-5.79966010e-19 7.06360000e-22 4.19765148e-09))
