# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous)	moments(pressure viscous)
0               	((0.00000000e+00 0.00000000e+00 0.00000000e+00) (2.09003290e+00 8.93382590e-17 4.81482486e-35)) ((0.00000000e+00 0.00000000e+00 0.00000000e+00) (1.80021049e-26 -1.29057203e-21 -3.13984949e-16))
0.05            	((6.46125561e+01 -3.17762309e-06 -4.37774952e-20) (2.14857105e+00 -1.11987236e-08 -5.72138913e-22)) ((5.84060481e-21 -2.78624769e-19 -8.45417486e-14) (-1.92096123e-19 -7.59837236e-22 -3.26450327e-09))
0.1             	((-2.84171023e+01 7.99788230e-06 3.33593526e-20) (1.67248330e+00 3.52753363e-08 -4.71898338e-22)) ((9.57487475e-20 1.18587597e-19 2.01349354e-14) (-4.14415764e-19 -6.17908255e-22 -1.00497095e-09))
0.15            	((1.38403844e+00 -4.69945803e-06 1.02634747e-20) (1.33762672e+00 1.95579136e-08 -3.68614654e-22)) ((5.24170282e-20 -6.94045941e-21 -2.80060805e-14) (-2.40635513e-19 -4.39233395e-22 -5.29520580e-09))
0.2             	((9.95667179e-01 1.60495863e-06 1.21029858e-20) (1.10845930e+00 2.17037282e-08 -2.43623544e-22)) ((5.08052077e-20 -4.71754749e-21 8.60331771e-14) (8.63623386e-20 -3.20878842e-22 -4.75896674e-09))
0.25            	((1.00229270e+00 -7.67588519e-07 1.22450683e-20) (9.47981442e-01 1.78493443e-08 -1.60001861e-22)) ((3.21753337e-20 -4.64037734e-21 -6.07568059e-14) (2.18130962e-19 -2.43267736e-22 -5.97398432e-09))
0.3             	((9.65695231e-01 6.48606024e-08 1.20624243e-20) (8.31406804e-01 1.57151269e-08 -1.35288910e-22)) ((2.35761746e-20 -4.50315389e-21 4.08429258e-14) (2.06919742e-19 -1.86330192e-22 -5.37115744e-09))
0.35            	((9.15439405e-01 9.36342103e-08 1.19497696e-20) (7.44286959e-01 1.37084537e-08 -1.45151323e-22)) ((2.21629193e-20 -4.32709803e-21 4.59893625e-14) (1.48128821e-19 -1.43110612e-22 -4.58267511e-09))
0.4             	((8.68742400e-01 -1.12915275e-07 1.18493306e-20) (6.77429034e-01 1.19594988e-08 -6.71322894e-23)) ((2.38136524e-20 -4.10500043e-21 -1.62653094e-14) (8.55333336e-20 -7.90398598e-23 -3.42635682e-09))
0.45            	((8.33720259e-01 -3.46617056e-08 1.17997297e-20) (6.24696268e-01 1.06590144e-08 -2.80415334e-23)) ((2.64362021e-20 -3.96409659e-21 -6.11324684e-15) (2.26583606e-20 -2.89352420e-23 -2.67581129e-09))
0.5             	((8.05745107e-01 4.95371168e-08 1.17324806e-20) (5.82650289e-01 1.03541101e-08 1.45816046e-24)) ((2.94155072e-20 -3.85191420e-21 -8.19735447e-15) (-4.35411197e-20 -1.42033973e-24 -2.51137199e-09))
0.55            	((7.86535315e-01 -8.66496927e-08 1.16742287e-20) (5.48651494e-01 8.84080598e-09 1.95002681e-24)) ((3.24221159e-20 -3.79325976e-21 1.70164989e-14) (-9.15322205e-20 1.02039207e-23 -2.01848181e-09))
0.6             	((7.74142266e-01 -4.65412648e-08 1.16222758e-20) (5.20811653e-01 7.50827122e-09 -6.83746805e-24)) ((3.61041340e-20 -3.76945415e-21 1.11690713e-14) (-1.17569022e-19 1.86869479e-23 -1.60420332e-09))
0.65            	((7.66786537e-01 -4.08684912e-08 1.15731769e-20) (4.97641769e-01 6.64025746e-09 -1.60137312e-23)) ((4.03005121e-20 -3.77098908e-21 9.63291946e-15) (-1.16005696e-19 2.77758925e-23 -1.20835516e-09))
0.7             	((7.63146207e-01 -2.22611404e-09 1.15189863e-20) (4.77796872e-01 6.41995990e-09 -2.00349068e-23)) ((4.48747984e-20 -3.78368503e-21 1.92097789e-14) (-1.11962458e-19 3.15321213e-23 -1.06654761e-09))
0.75            	((7.62874805e-01 -2.01161621e-07 1.14678786e-20) (4.60405038e-01 5.45204194e-09 -2.59687866e-23)) ((4.95452927e-20 -3.81168784e-21 3.22336016e-15) (-1.11645198e-19 3.70498236e-23 -1.07920775e-09))
0.8             	((7.64740262e-01 -9.01933138e-08 1.14168557e-20) (4.45081104e-01 4.82650317e-09 -3.23031746e-23)) ((5.41698843e-20 -3.84744151e-21 7.34162080e-15) (-1.12932260e-19 4.28745387e-23 -1.02972901e-09))
0.85            	((7.68910083e-01 -8.87683296e-08 1.13679947e-20) (4.31368760e-01 4.57507458e-09 -3.85262028e-23)) ((5.87991657e-20 -3.89360372e-21 6.89450599e-15) (-1.17713521e-19 4.84689014e-23 -9.47673953e-10))
0.9             	((7.73980952e-01 -1.48663651e-07 1.13212726e-20) (4.19186776e-01 4.11726257e-09 -4.48961431e-23)) ((6.35536995e-20 -3.94410245e-21 8.89493862e-15) (-1.20494370e-19 5.39995240e-23 -8.83571379e-10))
0.95            	((7.80352422e-01 -1.36051925e-07 1.12723184e-20) (4.08196903e-01 3.93178921e-09 -5.07608378e-23)) ((6.81228916e-20 -3.99614781e-21 7.06046007e-15) (-1.22161361e-19 5.90904187e-23 -9.68476311e-10))
1               	((7.88052971e-01 -1.52882370e-07 1.12238205e-20) (3.98339278e-01 3.87421305e-09 -5.63780669e-23)) ((7.26868441e-20 -4.05433845e-21 7.67634112e-15) (-1.23206035e-19 6.40758648e-23 -9.69600586e-10))
1.05            	((7.96156052e-01 -1.84053848e-07 1.11719836e-20) (3.89344596e-01 3.67541603e-09 -6.22239254e-23)) ((7.72167470e-20 -4.11202917e-21 8.42704270e-15) (-1.22919381e-19 6.93727582e-23 -1.01793050e-09))
1.1             	((8.05513861e-01 -1.67600469e-07 1.11201484e-20) (3.81106078e-01 3.62630125e-09 -6.70391581e-23)) ((8.17560260e-20 -4.17454894e-21 7.42418280e-15) (-1.19353206e-19 7.36424221e-23 -1.18900769e-09))
1.15            	((8.15033036e-01 1.87559288e-08 1.10636624e-20) (3.73612570e-01 4.91747450e-09 -6.99784575e-23)) ((8.61028835e-20 -4.23474822e-21 -1.68512123e-16) (-1.20005250e-19 7.68604172e-23 -1.40514462e-09))
1.2             	((8.25523018e-01 -9.73104787e-08 1.10119599e-20) (3.66687773e-01 4.97779322e-09 -7.35800913e-23)) ((9.03657330e-20 -4.30117021e-21 1.63253742e-15) (-1.20004646e-19 8.02910292e-23 -1.20947794e-09))
1.25            	((8.36256898e-01 -7.45609327e-08 1.09614210e-20) (3.60302205e-01 5.06510516e-09 -7.74412176e-23)) ((9.47095206e-20 -4.36769456e-21 1.27317861e-15) (-1.20681842e-19 8.36503993e-23 -1.01998172e-09))
1.3             	((8.47082129e-01 -8.22233930e-08 1.09088358e-20) (3.54340739e-01 5.10648572e-09 -8.13303153e-23)) ((9.90109694e-20 -4.43226099e-21 1.52381905e-15) (-1.22865537e-19 8.68925991e-23 -9.31417395e-10))
1.35            	((8.58328417e-01 -9.13111151e-08 1.08582622e-20) (3.48800534e-01 4.94818403e-09 -8.52965367e-23)) ((1.03283003e-19 -4.49904768e-21 1.58103782e-15) (-1.22788279e-19 9.01033076e-23 -9.37734636e-10))
1.4             	((8.69743077e-01 -8.81953660e-08 1.08075215e-20) (3.43675744e-01 4.93621372e-09 -8.92607418e-23)) ((1.07480828e-19 -4.56575751e-21 1.82812749e-15) (-1.19918996e-19 9.32161986e-23 -8.79671062e-10))
1.45            	((8.81708327e-01 -8.90289736e-08 1.07598337e-20) (3.38913420e-01 4.79638034e-09 -9.31954236e-23)) ((1.11570655e-19 -4.63478801e-21 1.15863265e-15) (-1.18606244e-19 9.61797085e-23 -7.98751070e-10))
1.5             	((8.92725324e-01 -1.13958275e-07 1.07039272e-20) (3.34478371e-01 4.34856087e-09 -9.70897355e-23)) ((1.15723857e-19 -4.69626873e-21 1.82400752e-15) (-1.18385704e-19 9.89727496e-23 -7.63995972e-10))
1.55            	((9.04354416e-01 -1.07871471e-07 1.06503494e-20) (3.30313121e-01 4.06121806e-09 -1.00824361e-22)) ((1.19787707e-19 -4.76232859e-21 1.47397285e-15) (-1.17929825e-19 1.01753137e-22 -6.33696184e-10))
1.6             	((9.15932741e-01 -1.04292426e-07 1.05927796e-20) (3.26425507e-01 3.87511631e-09 -1.02906865e-22)) ((1.23765501e-19 -4.82697025e-21 1.76405114e-15) (-1.17658333e-19 1.04396730e-22 -6.18665098e-10))
1.65            	((9.28069509e-01 -1.15450483e-07 1.05386774e-20) (3.22810214e-01 3.69874871e-09 -1.04596203e-22)) ((1.27713402e-19 -4.89560878e-21 1.63096533e-15) (-1.17755047e-19 1.06991541e-22 -5.26837083e-10))
1.7             	((9.38709340e-01 -1.27537552e-07 1.04719231e-20) (3.19395359e-01 3.46357857e-09 -1.05940582e-22)) ((1.31472324e-19 -4.95392483e-21 2.40795881e-15) (-1.17863985e-19 1.09522009e-22 -4.94370163e-10))
1.75            	((9.49954225e-01 -1.26389176e-07 1.04104914e-20) (3.16177303e-01 3.35238017e-09 -1.07001211e-22)) ((1.35216532e-19 -5.01569801e-21 2.33461254e-15) (-1.17513798e-19 1.11993557e-22 -3.94034718e-10))
1.8             	((9.61076979e-01 -1.27879603e-07 1.03492353e-20) (3.13172802e-01 3.34399942e-09 -1.07824436e-22)) ((1.38927379e-19 -5.07608271e-21 2.69044769e-15) (-1.19752724e-19 1.14408958e-22 -3.72462394e-10))
1.85            	((9.72022200e-01 -1.29607272e-07 1.02900701e-20) (3.10350563e-01 3.38713171e-09 -1.08792943e-22)) ((1.42486624e-19 -5.13652612e-21 3.05072807e-15) (-1.23017678e-19 1.16826744e-22 -3.33512822e-10))
1.9             	((9.82574366e-01 -1.44929823e-07 1.02315111e-20) (3.07702031e-01 3.39559422e-09 -1.10018112e-22)) ((1.45991800e-19 -5.19461046e-21 3.20089007e-15) (-1.26336929e-19 1.19189163e-22 -3.47250199e-10))
1.95            	((9.93157173e-01 -1.44517775e-07 1.01778716e-20) (3.05232714e-01 3.43735183e-09 -1.11627777e-22)) ((1.49466298e-19 -5.25259198e-21 4.53922924e-15) (-1.29145053e-19 1.21470412e-22 -2.90226159e-10))
2               	((1.00254342e+00 -1.42652622e-07 1.01180448e-20) (3.02891961e-01 3.46662059e-09 -1.13549972e-22)) ((1.52702308e-19 -5.30310464e-21 4.62564015e-15) (-1.28829833e-19 1.23697664e-22 -3.02927619e-10))
2.05            	((1.01239172e+00 -1.43316510e-07 1.00669676e-20) (3.00720850e-01 3.47424198e-09 -1.15691663e-22)) ((1.55920320e-19 -5.35756374e-21 4.93789037e-15) (-1.28121893e-19 1.25855920e-22 -3.61882135e-10))
2.1             	((1.02195257e+00 -1.59603877e-07 1.00170670e-20) (2.98674613e-01 3.38196456e-09 -1.17943045e-22)) ((1.59065834e-19 -5.40954083e-21 5.10507435e-15) (-1.27301972e-19 1.27939420e-22 -3.77993510e-10))
2.15            	((1.03101642e+00 -1.69964417e-07 9.96728595e-21) (2.96714733e-01 3.23831203e-09 -1.20263677e-22)) ((1.62089584e-19 -5.45956770e-21 5.92527329e-15) (-1.26341451e-19 1.29989998e-22 -3.53651232e-10))
2.2             	((1.03996042e+00 -1.66972245e-07 9.91902741e-21) (2.94844773e-01 3.17356501e-09 -1.22549093e-22)) ((1.65041045e-19 -5.50829905e-21 6.20423851e-15) (-1.25852151e-19 1.31959001e-22 -3.62664414e-10))
2.25            	((1.04861223e+00 -1.64510594e-07 9.87265643e-21) (2.93073789e-01 3.19399740e-09 -1.24817210e-22)) ((1.67903288e-19 -5.55610163e-21 6.48352899e-15) (-1.24810866e-19 1.33897121e-22 -3.47070445e-10))
2.3             	((1.05613613e+00 -1.94915525e-07 9.81986721e-21) (2.91384027e-01 2.99031625e-09 -1.27050125e-22)) ((1.70565241e-19 -5.59815832e-21 7.03625526e-15) (-1.22308915e-19 1.35802380e-22 -4.01137115e-10))
2.35            	((1.06384767e+00 -1.91562173e-07 9.77107108e-21) (2.89784536e-01 2.90463092e-09 -1.29165687e-22)) ((1.73171352e-19 -5.63989938e-21 7.07160025e-15) (-1.20096421e-19 1.37604147e-22 -4.02523058e-10))
2.4             	((1.07164942e+00 -1.96802901e-07 9.72607024e-21) (2.88271138e-01 2.82146657e-09 -1.31302367e-22)) ((1.75710635e-19 -5.68546933e-21 7.77654850e-15) (-1.17697001e-19 1.39442410e-22 -4.54011934e-10))
2.45            	((1.07871928e+00 -1.72790621e-07 9.67970299e-21) (2.86849074e-01 2.96002732e-09 -1.33289455e-22)) ((1.78015974e-19 -5.72374086e-21 7.30698054e-15) (-1.14890448e-19 1.41146603e-22 -4.65367852e-10))
2.5             	((1.08521487e+00 -1.94413200e-07 9.62944937e-21) (2.85494491e-01 2.98082081e-09 -1.35217155e-22)) ((1.80236654e-19 -5.76074880e-21 8.50654183e-15) (-1.12419741e-19 1.42807136e-22 -4.93241000e-10))
2.55            	((1.09166445e+00 -1.90176768e-07 9.58302636e-21) (2.84201784e-01 3.02124466e-09 -1.36963599e-22)) ((1.82359653e-19 -5.79688358e-21 8.12772159e-15) (-1.10659955e-19 1.44303285e-22 -5.40063931e-10))
2.6             	((1.09736020e+00 -1.95234386e-07 9.53468238e-21) (2.82974846e-01 3.10103053e-09 -1.38414071e-22)) ((1.84379005e-19 -5.83082437e-21 8.97209824e-15) (-1.08994376e-19 1.45728263e-22 -5.63547079e-10))
2.65            	((1.10227098e+00 -2.16658849e-07 9.48320212e-21) (2.81790826e-01 3.00502447e-09 -1.39477275e-22)) ((1.86231832e-19 -5.86124739e-21 9.48134800e-15) (-1.07489486e-19 1.47084320e-22 -5.48206348e-10))
2.7             	((1.10666378e+00 -2.24381783e-07 9.43364705e-21) (2.80654839e-01 2.86748145e-09 -1.40452832e-22)) ((1.87891174e-19 -5.88787169e-21 9.52341504e-15) (-1.07320042e-19 1.48354990e-22 -5.93697301e-10))
