# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 2.00000000e+00
# Aref          : 2.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	-1.56992475e-16	2.09003290e+00	8.93382590e-17	-1.12323345e-16	2.01661604e-16
0.05            	-1.63229391e-09	6.67611272e+01	-3.18882181e-06	-1.59604320e-06	-1.59277861e-06
0.1             	-5.02475406e-10	-2.67446190e+01	8.03315764e-06	4.01607634e-06	4.01708129e-06
0.15            	-2.64761690e-09	2.72166516e+00	-4.67990012e-06	-2.34259768e-06	-2.33730244e-06
0.2             	-2.37944035e-09	2.10412648e+00	1.62666235e-06	8.10951736e-07	8.15710617e-07
0.25            	-2.98702254e-09	1.95027414e+00	-7.49739175e-07	-3.77856610e-07	-3.71882565e-07
0.3             	-2.68555830e-09	1.79710203e+00	8.05757294e-08	3.76023064e-08	4.29734230e-08
0.35            	-2.29131456e-09	1.65972636e+00	1.07342664e-07	5.13800174e-08	5.59626465e-08
0.4             	-1.71318654e-09	1.54617143e+00	-1.00955776e-07	-5.21910746e-08	-4.87647016e-08
0.45            	-1.33790870e-09	1.45841653e+00	-2.40026912e-08	-1.33392543e-08	-1.06634369e-08
0.5             	-1.25569009e-09	1.38839540e+00	5.98912268e-08	2.86899233e-08	3.12013035e-08
0.55            	-1.00923240e-09	1.33518681e+00	-7.78088867e-08	-3.99136758e-08	-3.78952110e-08
0.6             	-8.02096073e-10	1.29495392e+00	-3.90329936e-08	-2.03185929e-08	-1.87144007e-08
0.65            	-6.04172763e-10	1.26442831e+00	-3.42282338e-08	-1.77182896e-08	-1.65099441e-08
0.7             	-5.33264201e-10	1.24094308e+00	4.19384586e-09	1.56365873e-09	2.63018713e-09
0.75            	-5.39602262e-10	1.22327984e+00	-1.95709579e-07	-9.83943920e-08	-9.73151874e-08
0.8             	-5.14860834e-10	1.20982137e+00	-8.53668107e-08	-4.31982662e-08	-4.21685445e-08
0.85            	-4.73833529e-10	1.20027884e+00	-8.41932550e-08	-4.25704610e-08	-4.16227940e-08
0.9             	-4.41781242e-10	1.19316773e+00	-1.44546388e-07	-7.27149753e-08	-7.18314128e-08
0.95            	-4.84234625e-10	1.18854933e+00	-1.32120135e-07	-6.65443023e-08	-6.55758331e-08
1               	-4.84796455e-10	1.18639225e+00	-1.49008157e-07	-7.49888751e-08	-7.40192822e-08
1.05            	-5.08961038e-10	1.18550065e+00	-1.80378432e-07	-9.06981770e-08	-8.96802549e-08
1.1             	-5.94500132e-10	1.18661994e+00	-1.63974168e-07	-8.25815840e-08	-8.13925837e-08
1.15            	-7.02572396e-10	1.18864561e+00	2.36734033e-08	1.11341292e-08	1.25392740e-08
1.2             	-6.04738153e-10	1.19221079e+00	-9.23326855e-08	-4.67710809e-08	-4.55616046e-08
1.25            	-5.09990222e-10	1.19655910e+00	-6.94958275e-08	-3.52579040e-08	-3.42379236e-08
1.3             	-4.65707935e-10	1.20142287e+00	-7.71169073e-08	-3.90241616e-08	-3.80927457e-08
1.35            	-4.68866528e-10	1.20712895e+00	-8.63629311e-08	-4.36503321e-08	-4.27125990e-08
1.4             	-4.39834617e-10	1.21341882e+00	-8.32591523e-08	-4.20694107e-08	-4.11897415e-08
1.45            	-3.99374956e-10	1.22062175e+00	-8.42325933e-08	-4.25156716e-08	-4.17169217e-08
1.5             	-3.81997074e-10	1.22720369e+00	-1.09609714e-07	-5.51868539e-08	-5.44228598e-08
1.55            	-3.16847355e-10	1.23466754e+00	-1.03810253e-07	-5.22219739e-08	-5.15882792e-08
1.6             	-3.09331667e-10	1.24235825e+00	-1.00417310e-07	-5.05179865e-08	-4.98993232e-08
1.65            	-2.63417726e-10	1.25087972e+00	-1.11751734e-07	-5.61392847e-08	-5.56124493e-08
1.7             	-2.47183877e-10	1.25810470e+00	-1.24073974e-07	-6.22841707e-08	-6.17898029e-08
1.75            	-1.97016192e-10	1.26613153e+00	-1.23036796e-07	-6.17154141e-08	-6.13213817e-08
1.8             	-1.86229852e-10	1.27424978e+00	-1.24535603e-07	-6.24540315e-08	-6.20815718e-08
1.85            	-1.66754885e-10	1.28237276e+00	-1.26220140e-07	-6.32768249e-08	-6.29433151e-08
1.9             	-1.73623499e-10	1.29027640e+00	-1.41534229e-07	-7.09407380e-08	-7.05934910e-08
1.95            	-1.45110810e-10	1.29838989e+00	-1.41080423e-07	-7.06853223e-08	-7.03951007e-08
2               	-1.51461497e-10	1.30543538e+00	-1.39186001e-07	-6.97444622e-08	-6.94415392e-08
2.05            	-1.80938599e-10	1.31311257e+00	-1.39842268e-07	-7.01020727e-08	-6.97401955e-08
2.1             	-1.88994202e-10	1.32062718e+00	-1.56221913e-07	-7.82999505e-08	-7.79219621e-08
2.15            	-1.76822653e-10	1.32773115e+00	-1.66726105e-07	-8.35398752e-08	-8.31862299e-08
2.2             	-1.81329105e-10	1.33480519e+00	-1.63798680e-07	-8.20806689e-08	-8.17180107e-08
2.25            	-1.73531981e-10	1.34168602e+00	-1.61316597e-07	-8.08318305e-08	-8.04847665e-08
2.3             	-2.00565039e-10	1.34752016e+00	-1.91925209e-07	-9.61631695e-08	-9.57620394e-08
2.35            	-2.01257993e-10	1.35363221e+00	-1.88657542e-07	-9.45300292e-08	-9.41275132e-08
2.4             	-2.27002079e-10	1.35992056e+00	-1.93981434e-07	-9.72177193e-08	-9.67637152e-08
2.45            	-2.32680272e-10	1.36556836e+00	-1.69830593e-07	-8.51479769e-08	-8.46826164e-08
2.5             	-2.46616247e-10	1.37070936e+00	-1.91432379e-07	-9.59628056e-08	-9.54695731e-08
2.55            	-2.70027902e-10	1.37586624e+00	-1.87155523e-07	-9.38477896e-08	-9.33077338e-08
2.6             	-2.81769053e-10	1.38033504e+00	-1.92133355e-07	-9.63484467e-08	-9.57849086e-08
2.65            	-2.74098434e-10	1.38406181e+00	-2.13653825e-07	-1.07101011e-07	-1.06552814e-07
2.7             	-2.96843889e-10	1.38731862e+00	-2.21514301e-07	-1.11053995e-07	-1.10460307e-07
2.75            	-3.09433808e-10	1.39084012e+00	-2.10385792e-07	-1.05502330e-07	-1.04883462e-07
2.8             	-3.60931405e-10	1.39334472e+00	-2.13657947e-07	-1.07189905e-07	-1.06468042e-07
2.85            	-3.48196032e-10	1.39607402e+00	-1.67189758e-07	-8.39430753e-08	-8.32466832e-08
2.9             	-3.24482775e-10	1.39874507e+00	-1.99790975e-07	-1.00219970e-07	-9.95710045e-08
2.95            	-2.96318421e-10	1.40137359e+00	-1.71401652e-07	-8.59971443e-08	-8.54045075e-08
3               	-2.82293362e-10	1.40262026e+00	-1.96367461e-07	-9.84660239e-08	-9.79014372e-08
3.05            	-2.65664933e-10	1.40411526e+00	-1.88286168e-07	-9.44087490e-08	-9.38774191e-08
3.1             	-2.61170651e-10	1.40529898e+00	-1.92113332e-07	-9.63178366e-08	-9.57954953e-08
3.15            	-2.57403856e-10	1.40595754e+00	-1.93754847e-07	-9.71348272e-08	-9.66200195e-08
3.2             	-2.55600610e-10	1.40637385e+00	-2.07161746e-07	-1.03836474e-07	-1.03325272e-07
3.25            	-2.58455343e-10	1.40663646e+00	-2.14711259e-07	-1.07614085e-07	-1.07097174e-07
3.3             	-2.65652260e-10	1.40651355e+00	-2.17628929e-07	-1.09080117e-07	-1.08548812e-07
3.35            	-2.57467111e-10	1.40666225e+00	-2.26334096e-07	-1.13424515e-07	-1.12909581e-07
3.4             	-2.48028228e-10	1.40568672e+00	-2.04842397e-07	-1.02669227e-07	-1.02173170e-07
3.45            	-2.78792586e-10	1.40487437e+00	-2.04867172e-07	-1.02712379e-07	-1.02154793e-07
3.5             	-2.64041276e-10	1.40410122e+00	-2.39570837e-07	-1.20049460e-07	-1.19521377e-07
3.55            	-2.55022318e-10	1.40239314e+00	-2.43073261e-07	-1.21791653e-07	-1.21281608e-07
3.6             	-2.44637593e-10	1.40096138e+00	-2.30985546e-07	-1.15737410e-07	-1.15248135e-07
